district,link,block,compartment_amount,orientation,area,floor,metro_location,metro_location_distance,price,sublet
东城区,www.ziroom.com/x/735654678.html,定安里,3,西,7.5,6/6,景泰站,796,2190,FALSE
东城区,www.ziroom.com/x/807824698.html,百荣嘉园,3,北,5.6,10/21,永定门外站,969,2330,FALSE
东城区,www.ziroom.com/x/723123927.html,景泰西里,3,西,7.1,5/6,景泰站,351,2330,TRUE
东城区,www.ziroom.com/x/751256740.html,东革新里40号院,3,北,6.6,4/5,永定门外站,241,2390,TRUE
东城区,www.ziroom.com/x/807066493.html,定安里,3,北,8.5,2/6,景泰站,796,2330,FALSE
东城区,www.ziroom.com/x/718617501.html,百荣嘉园,3,东,7.57,18/21,永定门外站,969,2330,FALSE
东城区,www.ziroom.com/x/807059318.html,景泰西里,3,西,7.2,1/6,景泰站,351,2330,FALSE
东城区,www.ziroom.com/x/727921935.html,李村东里,3,北,8.5,2/6,景泰站,550,2430,FALSE
东城区,www.ziroom.com/x/714138914.html,百荣嘉园,3,北,7.11,17/21,永定门外站,969,2360,TRUE
东城区,www.ziroom.com/x/684399041.html,左安浦园,3,西,10,6/14,方庄站,1031,2330,FALSE
东城区,www.ziroom.com/x/720077642.html,百荣嘉园,3,东,7,15/21,永定门外站,969,2360,FALSE
东城区,www.ziroom.com/x/735654775.html,定安里,3,北,7.75,6/6,景泰站,796,2390,FALSE
东城区,www.ziroom.com/x/781720560.html,景泰西里,3,北,7.4,2/6,景泰站,351,2490,FALSE
西城区,www.ziroom.com/x/751441719.html,乐城,4,西,9.6,10/24,达官营站,1737,2290,FALSE
西城区,www.ziroom.com/x/764652828.html,鸭子桥路,3,北,6.7,5/6,达官营站,2332,2260,FALSE
西城区,www.ziroom.com/x/715592071.html,万博苑,4,北,8.23,11/23,陶然亭站,1483,2330,FALSE
西城区,www.ziroom.com/x/734603004.html,里仁街6号院,3,西,7.7,5/6,陶然亭站,749,2360,FALSE
西城区,www.ziroom.com/x/794638826.html,右安门内西街甲10号院,3,南,11.3,4/6,陶然亭站,1658,2390,FALSE
西城区,www.ziroom.com/x/750875433.html,半步桥13号院,3,北,9.84,5/6,陶然亭站,1171,2390,FALSE
西城区,www.ziroom.com/x/759643457.html,广南小区,2,北,10.6,1/14,达官营站,1777,2390,FALSE
西城区,www.ziroom.com/x/753519459.html,小红庙,3,北,7.9,6/6,达官营站,1025,2390,FALSE
西城区,www.ziroom.com/x/792075407.html,右安门内西街甲2号院,3,西,6.9,3/6,陶然亭站,1782,2390,FALSE
西城区,www.ziroom.com/x/764794254.html,万博苑,4,北,7.4,18/23,陶然亭站,1483,2390,FALSE
西城区,www.ziroom.com/x/723321128.html,新安北里,3,西,8.76,1/6,陶然亭站,1074,2460,TRUE
西城区,www.ziroom.com/x/634620825.html,广安门外大街,3,西,7.5,14/18,达官营站,21,2490,FALSE
西城区,www.ziroom.com/x/796881369.html,天宁寺东里,3,南,6.9,4/5,广安门内站,1370,2490,FALSE
西城区,www.ziroom.com/x/715768320.html,白菜湾四巷17号院,3,北,8.6,4/6,广安门内站,1437,2490,FALSE
西城区,www.ziroom.com/x/760195678.html,鸭子桥路,3,北,8.5,4/5,达官营站,2332,2430,TRUE
西城区,www.ziroom.com/x/762425902.html,广南小区,2,西,11.2,9/13,达官营站,1777,2490,FALSE
西城区,www.ziroom.com/x/807876743.html,右安门内西街甲2号院,3,北,9.3,6/6,陶然亭站,1782,2490,FALSE
西城区,www.ziroom.com/x/740470049.html,万博苑,4,北,8.6,21/23,陶然亭站,1483,2490,FALSE
西城区,www.ziroom.com/x/784355468.html,右安门内西街甲10号院,3,东,6.9,4/6,陶然亭站,1658,2490,FALSE
朝阳区,www.ziroom.com/x/807047390.html,管庄新村,3,东,10.26,6/18,管庄站,1181,1890,FALSE
朝阳区,www.ziroom.com/x/718437469.html,远洋一方溪语苑,3,南,12.6,3/11,管庄站,1340,1990,FALSE
朝阳区,www.ziroom.com/x/757698122.html,北京像素北区,3,西北,7.3,3/13,草房站,349,1960,TRUE
朝阳区,www.ziroom.com/x/807921053.html,康泉小区,4,北,11,4/13,八里桥站,1173,1990,FALSE
朝阳区,www.ziroom.com/x/570818303.html,金隅康惠园2号院,3,西,11.6,8/21,双桥站,933,2030,FALSE
朝阳区,www.ziroom.com/x/807931833.html,京铁潞园,3,北,9.5,18/28,八里桥站,864,2030,FALSE
朝阳区,www.ziroom.com/x/735003032.html,燕保祈东家园,3,南,9.8,13/28,焦化厂站,1063,2060,FALSE
朝阳区,www.ziroom.com/x/661844907.html,北京像素北区,3,西北,7,11/13,草房站,349,1960,FALSE
朝阳区,www.ziroom.com/x/717670587.html,远洋一方润园3号院,3,南,11.81,1/18,管庄站,1197,2090,FALSE
朝阳区,www.ziroom.com/x/763079488.html,远洋一方林语苑,3,南,12.5,6/18,管庄站,1564,2090,FALSE
朝阳区,www.ziroom.com/x/733568790.html,北京新天地三期,4,南,9.87,2/28,管庄站,1158,2090,FALSE
朝阳区,www.ziroom.com/x/717916094.html,北京像素北区,4,东北,8.5,9/17,草房站,349,2030,TRUE
朝阳区,www.ziroom.com/x/712023247.html,金隅康惠园3号院,3,南,6.52,4/22,双桥站,590,2090,FALSE
朝阳区,www.ziroom.com/x/670957487.html,朝丰家园,3,南,12,12/18,郎辛庄站,1003,2160,FALSE
朝阳区,www.ziroom.com/x/718991145.html,北京像素北区,3,南,7.33,12/17,草房站,349,2060,FALSE
朝阳区,www.ziroom.com/x/715447832.html,北京像素北区,3,西北,7.22,9/13,草房站,349,2030,TRUE
朝阳区,www.ziroom.com/x/632177178.html,北京像素北区,3,南,8.5,12/14,草房站,349,2090,FALSE
朝阳区,www.ziroom.com/x/787256544.html,北京像素北区,3,西北,6.8,5/13,草房站,349,2030,FALSE
