,formatted_block,geo_code,district,link,block,compartment_amount,orientation,area,floor,metro_location,metro_location_distance,price,sublet
0,东城区定安里,"116.413338,39.861579",东城区,www.ziroom.com/x/735654678.html,定安里,3,西,7.5,6/6,景泰站,796,2190,False
1,东城区百荣嘉园,"116.394764,39.866387",东城区,www.ziroom.com/x/807824698.html,百荣嘉园,3,北,5.6,10/21,永定门外站,969,2330,False
2,东城区景泰西里,"116.410520,39.863128",东城区,www.ziroom.com/x/723123927.html,景泰西里,3,西,7.1,5/6,景泰站,351,2330,True
3,东城区东革新里40号院,"116.397022,39.865852",东城区,www.ziroom.com/x/751256740.html,东革新里40号院,3,北,6.6,4/5,永定门外站,241,2390,True
4,东城区定安里,"116.413338,39.861579",东城区,www.ziroom.com/x/807066493.html,定安里,3,北,8.5,2/6,景泰站,796,2330,False
5,东城区百荣嘉园,"116.394764,39.866387",东城区,www.ziroom.com/x/718617501.html,百荣嘉园,3,东,7.57,18/21,永定门外站,969,2330,False
6,东城区景泰西里,"116.410520,39.863128",东城区,www.ziroom.com/x/807059318.html,景泰西里,3,西,7.2,1/6,景泰站,351,2330,False
7,东城区李村东里,"116.414381,39.868098",东城区,www.ziroom.com/x/727921935.html,李村东里,3,北,8.5,2/6,景泰站,550,2430,False
8,东城区百荣嘉园,"116.394764,39.866387",东城区,www.ziroom.com/x/714138914.html,百荣嘉园,3,北,7.11,17/21,永定门外站,969,2360,True
9,东城区左安浦园,"116.438166,39.873689",东城区,www.ziroom.com/x/684399041.html,左安浦园,3,西,10.0,6/14,方庄站,1031,2330,False
10,东城区百荣嘉园,"116.394764,39.866387",东城区,www.ziroom.com/x/720077642.html,百荣嘉园,3,东,7.0,15/21,永定门外站,969,2360,False
11,东城区定安里,"116.413338,39.861579",东城区,www.ziroom.com/x/735654775.html,定安里,3,北,7.75,6/6,景泰站,796,2390,False
12,东城区景泰西里,"116.410520,39.863128",东城区,www.ziroom.com/x/781720560.html,景泰西里,3,北,7.4,2/6,景泰站,351,2490,False
